disorder1	disorder2	ngenes1	ngenes2	class1	class2	ncommon_genes
Adenoma	Gastric cancer	3	3	Cancer	Cancer	3
Adenoma	Turcot syndrome	3	3	Cancer	Cancer	3
Adenomas	Colorectal adenomatous polyposis	1	1	Cancer	Cancer	1
Adenomas	Gastric cancer	1	1	Cancer	Cancer	1
Adenomatous polyposis coli	Adenoma	3	3	Cancer	Cancer	3
Adenomatous polyposis coli	Adenomatous polyposis coli	3	3	Cancer	Cancer	3
Adenomatous polyposis coli	Colorectal cancer	3	3	Cancer	Cancer	3
Adenomatous polyposis coli	Desmoid disease	3	3	Cancer	Cancer	3
Adenomatous polyposis coli	Gardner syndrome	3	3	Cancer	Cancer	3
Adenomatous polyposis coli	Gastric cancer	3	3	Cancer	Cancer	3
Adenomatous polyposis coli	Turcot syndrome	3	3	Cancer	Cancer	3
Adenomatous polyposis coli	Adenoma	3	3	Cancer	Cancer	3
Adenomatous polyposis coli	Adenomatous polyposis coli	3	3	Cancer	Cancer	3
Adenomatous polyposis coli	Colorectal cancer	3	3	Cancer	Cancer	3
Adenomatous polyposis coli	Desmoid disease	3	3	Cancer	Cancer	3
Adenomatous polyposis coli	Gardner syndrome	3	3	Cancer	Cancer	3
Adenomatous polyposis coli	Gastric cancer	3	3	Cancer	Cancer	3
Adenomatous polyposis coli	Turcot syndrome	3	3	Cancer	Cancer	3
Adenosine deaminase deficiency	Severe combined immunodeficiency due to ADA deficiency	1	1	Immunological	Immunological	1
Adrenal adenoma	Angiofibroma	1	1	Cancer	Endocrine	1
Adrenal adenoma	Carcinoid tumor of lung	1	1	Cancer	Cancer	1
Adrenal adenoma	Hyperparathyroidism	1	1	Cancer	Endocrine	1
Adrenal adenoma	Lipoma	1	1	Cancer	Cancer	1
Adrenal adenoma	Multiple endocrine neoplasia I	1	1	Cancer	Cancer	1
Adrenal adenoma	Parathyroid adenoma	1	1	Cancer	Cancer	1
Adrenal adenoma	Prolactinoma	1	1	Cancer	Endocrine	1
Adrenal cortical carcinoma	Breast cancer	3	3	Cancer	Cancer	3
Adrenal cortical carcinoma	Colorectal cancer	3	3	Cancer	Cancer	3
Adrenal cortical carcinoma	Hepatocellular carcinoma	3	3	Cancer	Cancer	3
Adrenal cortical carcinoma	Histiocytoma	3	3	Cancer	Cancer	3
Adrenal cortical carcinoma	Li-Fraumeni syndrome	3	3	Cancer	Cancer	3
Adrenal cortical carcinoma	Multiple malignancy syndrome	3	3	Cancer	Cancer	3
Adrenal cortical carcinoma	Nasopharyngeal carcinoma	3	3	Cancer	Cancer	3
Adrenal cortical carcinoma	Osteosarcoma	3	3	Cancer	Cancer	3
Adrenal cortical carcinoma	Pancreatic cancer	3	3	Cancer	Cancer	3
Adrenal cortical carcinoma	Thyroid carcinoma	3	3	Cancer	Cancer	3
Adrenal hyperplasia	Aldosteronism	3	3	Endocrine	Endocrine	3
Adrenal hyperplasia	Hyperandrogenism	3	3	Endocrine	Endocrine	3
Adrenal hyperplasia	Antley-Bixler syndrome	1	1	Endocrine	Unclassified	1
Adrenal hyperplasia	Disordered steroidogenesis	1	1	Endocrine	Metabolic	1
Adrenal hypoplasia	Dosage-sensitive sex reversal	4	4	Endocrine	Endocrine	4
Adrenocortical insufficiency without ovarian defect	Sex reversal	3	3	Endocrine	Unclassified	3
Adrenocortical tumor	Carney complex	4	4	Cancer	multiple	4
Adrenocortical tumor	Myxoma	4	4	Cancer	Cardiovascular	4
Adrenocortical tumor	Pigmented adrenocortical disease	4	4	Cancer	Cancer	4
Adrenocortical tumor	Spastic paraplegia-7	4	4	Cancer	Neurological	1
Adrenocortical tumor	Thyroid carcinoma	4	4	Cancer	Cancer	4
Adrenoleukodystrophy	Adrenomyeloneuropathy	3	3	Neurological	Metabolic	3
Adrenoleukodystrophy	Zellweger syndrome	2	2	Neurological	multiple	2
Adrenoleukodystrophy	Zellweger syndrome	2	3	Neurological	multiple	1
Adrenoleukodystrophy	Zellweger syndrome	3	2	Neurological	multiple	1
Adrenoleukodystrophy	Zellweger syndrome	3	3	Neurological	multiple	3
Adrenoleukodystrophy	Refsum disease	2	2	Neurological	Neurological	2
Adrenoleukodystrophy	Zellweger syndrome-1	2	2	Neurological	multiple	2
Adrenoleukodystrophy	Refsum disease	1	1	Neurological	Neurological	1
Adrenoleukodystrophy	Zellweger syndrome	1	1	Neurological	multiple	1
Adrenoleukodystrophy	Zellweger syndrome	3	3	Neurological	multiple	3
Adrenomyeloneuropathy	Adrenoleukodystrophy	3	3	Metabolic	Neurological	3
Adult i phenotype with congenital cataract	Adult i phenotype without cataract	1	1	Hematological	Hematological	1
Adult i phenotype with congenital cataract	Blood group	1	1	Hematological	Hematological	1
Adult i phenotype without cataract	Adult i phenotype with congenital cataract	1	1	Hematological	Hematological	1
Adult i phenotype without cataract	Blood group	1	1	Hematological	Hematological	1
ADULT syndrome	Ectrodactyly	7	7	multiple	Skeletal	7
ADULT syndrome	Hay-Wells syndrome	7	7	multiple	multiple	7
ADULT syndrome	Limb-mammary syndrome	7	7	multiple	multiple	7
ADULT syndrome	Rapp-Hodgkin syndrome	7	7	multiple	multiple	7
ADULT syndrome	Split-hand/foot malformation	7	7	multiple	Skeletal	7
Afibrinogenemia	Amyloidosis	1	1	Hematological	Neurological	1
Afibrinogenemia	Dysfibrinogenemia	1	1	Hematological	Hematological	1
Afibrinogenemia	Dysfibrinogenemia	1	1	Hematological	Hematological	1
Afibrinogenemia	Dysfibrinogenemia	1	1	Hematological	Hematological	1
Afibrinogenemia	Thrombophilia	1	1	Hematological	Hematological	1
Agammaglobulinemia	XLA and isolated growth hormone deficiency	5	5	Hematological	Immunological	5
AIDS	Aplastic anemia	1	1	Immunological	Hematological	1
AIDS	TSC2 angiomyolipomas	1	1	Immunological	multiple	1
AIDS	Tuberculosis	1	1	Immunological	Respiratory	1
Alagille syndrome	Deafness	3	3	multiple	Ear,Nose,Throat	3
Alagille syndrome	Tetralogy of Fallot	3	3	multiple	Cardiovascular	3
Albinism	Albinism	5	5	Dermatological	Dermatological	5
Albinism	Albinism	5	5	Dermatological	Dermatological	5
Albinism	Blood group	5	3	Dermatological	Hematological	1
Albinism	Albinism	5	5	Dermatological	Dermatological	5
Albinism	Albinism	5	5	Dermatological	Dermatological	5
Albinism	Blood group	5	3	Dermatological	Hematological	1
Albinism	Albinism	1	1	Dermatological	Dermatological	1
Albinism	Waardenburg syndrome/albinism	1	1	Dermatological	multiple	1
Albinism	Albinism	1	1	Dermatological	Dermatological	1
Albinism	Waardenburg syndrome/albinism	1	1	Dermatological	multiple	1
Albinism	Albinism	5	5	Dermatological	Dermatological	5
Albinism	Albinism	5	5	Dermatological	Dermatological	5
Albinism	Blood group	5	3	Dermatological	Hematological	1
Alcohol dependence	Anorexia nervosa	1	1	Unclassified	Nutritional	1
Alcohol dependence	Obsessive-compulsive disorder	1	1	Unclassified	Psychiatric	1
Alcohol dependence	Schizophrenia	1	1	Unclassified	Psychiatric	1
Alcohol dependence	Seasonal affective disorder	1	1	Unclassified	Psychiatric	1
Aldosterone to renin ratio raised	Hypoaldosteronism	1	1	Endocrine	Metabolic	1
Aldosterone to renin ratio raised	Hypoaldosteronism	1	1	Endocrine	Metabolic	1
Aldosterone to renin ratio raised	Low renin hypertension	1	1	Endocrine	Cardiovascular	1
Aldosteronism	Adrenal hyperplasia	3	3	Endocrine	Endocrine	3
Alexander disease	Leigh syndrome	2	2	multiple	Neurological	2
Alexander disease	Mitochondrial complex I deficiency	2	2	multiple	multiple	2
Allergic rhinitis	Asthma	2	2	Immunological	Respiratory	2
Alopecia universalis	Atrichia with papular lesions	2	2	Dermatological	Dermatological	2
Alopecia universalis	Blood group	2	3	Dermatological	Hematological	1
Alopecia universalis	Blood group	2	3	Dermatological	Hematological	1
Alpers syndrome	Progressive external ophthalmoplegia with mitochondrial DNA deletions	4	4	Neurological	Ophthamological	1
Alpers syndrome	Progressive external ophthalmoplegia with mitochondrial DNA deletions	4	4	Neurological	Ophthamological	4
Alpers syndrome	Sensory ataxic neuropathy	4	4	Neurological	Ophthamological	4
Alpha-1-antichymotrypsin deficiency	Cerebrovascular disease	3	3	Respiratory	Unclassified	3
Alpha-actinin-3 deficiency	Elite sprint athletic performance	1	1	Muscular	Muscular	1
Alpha-thalassemia/mental retardation syndrome	Alpha-thalassemia myelodysplasia syndrome	5	5	Hematological	Hematological	5
Alpha-thalassemia/mental retardation syndrome	Chudley-Lowry syndrome	5	5	Hematological	multiple	5
Alpha-thalassemia/mental retardation syndrome	Juberg-Marsidi syndrome	5	5	Hematological	multiple	5
Alpha-thalassemia/mental retardation syndrome	Renpenning syndrome	5	7	Hematological	Neurological	2
Alpha-thalassemia/mental retardation syndrome	Smith-Fineman-Myers syndrome	5	5	Hematological	multiple	5
Alpha-thalassemia/mental retardation syndrome	Sutherland-Haan syndrome-like	5	5	Hematological	multiple	5
Alpha-thalassemia myelodysplasia syndrome	Alpha-thalassemia/mental retardation syndrome	5	5	Hematological	Hematological	5
Alpha-thalassemia myelodysplasia syndrome	Chudley-Lowry syndrome	5	5	Hematological	multiple	5
Alpha-thalassemia myelodysplasia syndrome	Juberg-Marsidi syndrome	5	5	Hematological	multiple	5
Alpha-thalassemia myelodysplasia syndrome	Renpenning syndrome	5	7	Hematological	Neurological	2
Alpha-thalassemia myelodysplasia syndrome	Smith-Fineman-Myers syndrome	5	5	Hematological	multiple	5
Alpha-thalassemia myelodysplasia syndrome	Sutherland-Haan syndrome-like	5	5	Hematological	multiple	5
Alport syndrome	Hematuria	1	1	Renal	Renal	1
Alternating hemiplegia of childhood	Migraine	3	3	Neurological	Neurological	3
Alzheimer disease-1	Achalasia-addisonianism-alacrimia syndrome	4	2	Neurological	multiple	1
Alzheimer disease-1	Amyloidosis	4	4	Neurological	Neurological	4
Alzheimer disease-1	Schizophrenia	4	4	Neurological	Psychiatric	4
Alzheimer disease-2	Hyperlipoproteinemia	2	2	Neurological	Metabolic	2
Alzheimer disease-2	Myocardial infarction susceptibility	2	2	Neurological	Cardiovascular	2
Alzheimer disease-2	Sea-blue histiocyte disease	2	2	Neurological	Hematological	2
Alzheimer disease	Coronary spasms	1	1	Neurological	Cardiovascular	1
Alzheimer disease	Hypertension	1	1	Neurological	Cardiovascular	1
Alzheimer disease	Hypertension	1	1	Neurological	Cardiovascular	1
Alzheimer disease	Placental abruption	1	1	Neurological	Unclassified	1
Alzheimer disease	Angiotensin I-converting enzyme	3	3	Neurological	Endocrine	3
Alzheimer disease	Diabetic nephropathy	3	3	Neurological	Endocrine	3
Alzheimer disease	Myocardial infarction	3	3	Neurological	Cardiovascular	3
Alzheimer disease	Renal tubular dysgenesis	3	3	Neurological	Renal	3
Alzheimer disease	SARS	3	3	Neurological	Immunological	3
Alzheimer disease	Myeloperoxidase deficiency	1	1	Neurological	Immunological	1
Alzheimer disease	Alzheimer disease	2	2	Neurological	Neurological	2
Alzheimer disease	Alzheimer disease	2	2	Neurological	Neurological	2
Alzheimer disease	Dementia	2	2	Neurological	Neurological	2
Alzheimer disease	Pick disease	2	2	Neurological	Neurological	2
Alzheimer disease	Alzheimer disease	2	2	Neurological	Neurological	2
Alzheimer disease	Alzheimer disease	2	2	Neurological	Neurological	2
Alzheimer disease	Dementia	2	2	Neurological	Neurological	2
Alzheimer disease	Pick disease	2	2	Neurological	Neurological	2
Alzheimer disease	Alzheimer disease	2	2	Neurological	Neurological	2
Alzheimer disease	Alzheimer disease	2	2	Neurological	Neurological	2
Alzheimer disease	Dementia	2	2	Neurological	Neurological	2
Alzheimer disease	Pick disease	2	2	Neurological	Neurological	2
Amelogenesis imperfecta 2	Amelogenesis imperfecta	1	1	Bone	Bone	1
Amelogenesis imperfecta 2	Hypoplastic enamel pitting	1	1	Bone	Connective tissue	1
Amelogenesis imperfecta	Trichodontoosseous syndrome	2	2	Bone	multiple	2
Amelogenesis imperfecta	Amelogenesis imperfecta 2	1	1	Bone	Bone	1
Amelogenesis imperfecta	Hypoplastic enamel pitting	1	1	Bone	Connective tissue	1
Amyloid neuropathy	Amyloidosis	2	2	Neurological	Neurological	2
Amyloid neuropathy	Carpal tunnel syndrome	2	2	Neurological	Unclassified	2
Amyloid neuropathy	Dystransthyretinemic hyperthyroxinemia	2	2	Neurological	Hematological	2
Amyloidosis	ApoA-I and apoC-III deficiency	1	1	Neurological	Metabolic	1
Amyloidosis	Corneal clouding	1	1	Neurological	Ophthamological	1
Amyloidosis	Hypertriglyceridemia	1	1	Neurological	Metabolic	1
Amyloidosis	Hypoalphalipoproteinemia	1	1	Neurological	Metabolic	1
Amyloidosis	Achalasia-addisonianism-alacrimia syndrome	4	2	Neurological	multiple	1
Amyloidosis	Alzheimer disease-1	4	4	Neurological	Neurological	4
Amyloidosis	Schizophrenia	4	4	Neurological	Psychiatric	4
Amyloidosis	Afibrinogenemia	1	1	Neurological	Hematological	1
Amyloidosis	Dysfibrinogenemia	1	1	Neurological	Hematological	1
Amyloidosis	Dysfibrinogenemia	1	1	Neurological	Hematological	1
Amyloidosis	Amyloid neuropathy	2	2	Neurological	Neurological	2
Amyloidosis	Carpal tunnel syndrome	2	2	Neurological	Unclassified	2
Amyloidosis	Dystransthyretinemic hyperthyroxinemia	2	2	Neurological	Hematological	2
Amyotrophic lateral sclerosis 8	Spinal muscrular atrophy	3	3	Neurological	Muscular	3
Amyotrophic lateral sclerosis	Primary lateral sclerosis	4	4	Neurological	Neurological	4
Amyotrophic lateral sclerosis	Spastic paralysis	4	4	Neurological	Neurological	4
Amyotrophic lateral sclerosis	Lower motor neuron disease	1	1	Neurological	Neurological	1
Analbuminemia	Dysalbuminemic hyperthyroxinemia	1	1	Hematological	Hematological	1
Analgesia from kappa-opioid receptor agonist	Oculocutaneous albinism	1	1	Unclassified	Ophthamological	1
Analgesia from kappa-opioid receptor agonist	Red hair/fair skin	1	1	Unclassified	Dermatological	1
Analgesia from kappa-opioid receptor agonist	UV-induced skin damage	1	1	Unclassified	Dermatological	1
Anderson disease	Chylomicron retention disease	3	3	Gastrointestinal	Gastrointestinal	3
Anderson disease	Chylomicron retention disease with Marinesco-Sjogren syndrome	3	3	Gastrointestinal	Gastrointestinal	3
Androgen insensitivity	Breast cancer	6	6	Endocrine	Cancer	6
Androgen insensitivity	Perineal hypospadias	6	6	Endocrine	Endocrine	6
Androgen insensitivity	Prostate cancer	6	6	Endocrine	Cancer	6
Androgen insensitivity	Prostate cancer	6	6	Endocrine	Cancer	6
Androgen insensitivity	Spinal and bulbar muscular atrophy of Kennedy	6	6	Endocrine	Muscular	6
Anemia	Rh-mod syndrome	2	2	Hematological	Hematological	2
Anemia	Elliptocytosis-3	1	1	Hematological	Hematological	1
Anemia	Spherocytosis-1	1	1	Hematological	Hematological	1
Aneurysm	Ehlers-Danlos syndrome	1	1	Unclassified	Connective tissue	1
Aneurysm	Ehlers-Danlos syndrome	1	1	Unclassified	Connective tissue	1
Angelman syndrome	Autism	5	5	Developmental	Psychiatric	5
Angelman syndrome	Mental retardation	5	5	Developmental	Neurological	5
Angelman syndrome	Mental retardation	5	5	Developmental	Neurological	5
Angelman syndrome	PPM-X syndrome	5	5	Developmental	Neurological	5
Angelman syndrome	Rett syndrome	5	5	Developmental	Neurological	5
Angelman syndrome	Rett syndrome	5	5	Developmental	Neurological	5
Angiofibroma	Adrenal adenoma	1	1	Endocrine	Cancer	1
Angiofibroma	Carcinoid tumor of lung	1	1	Endocrine	Cancer	1
Angiofibroma	Hyperparathyroidism	1	1	Endocrine	Endocrine	1
Angiofibroma	Lipoma	1	1	Endocrine	Cancer	1
Angiofibroma	Multiple endocrine neoplasia I	1	1	Endocrine	Cancer	1
Angiofibroma	Parathyroid adenoma	1	1	Endocrine	Cancer	1
Angiofibroma	Prolactinoma	1	1	Endocrine	Endocrine	1
Angiotensin I-converting enzyme	Alzheimer disease	3	3	Endocrine	Neurological	3
Angiotensin I-converting enzyme	Diabetic nephropathy	3	3	Endocrine	Endocrine	3
Angiotensin I-converting enzyme	Myocardial infarction	3	3	Endocrine	Cardiovascular	3
Angiotensin I-converting enzyme	Renal tubular dysgenesis	3	3	Endocrine	Renal	3
Angiotensin I-converting enzyme	SARS	3	3	Endocrine	Immunological	3
Anhaptoglobinemia	Hypohaptoglobinemia	1	1	Hematological	Hematological	1
Aniridia	Cataract	3	3	Ophthamological	Ophthamological	3
Aniridia	Coloboma	3	3	Ophthamological	Ophthamological	3
Aniridia	Ectopia pupillae	3	3	Ophthamological	Ophthamological	3
Aniridia	Eye anomalies	3	3	Ophthamological	Ophthamological	3
Aniridia	Foveal hypoplasia	3	3	Ophthamological	Ophthamological	3
Aniridia	Keratitis	3	3	Ophthamological	Ophthamological	3
Aniridia	Morning glory disc anomaly	3	3	Ophthamological	Skeletal	3
Aniridia	Optic nerve hypoplasia/aplasia	3	3	Ophthamological	Ophthamological	3
Aniridia	Peters anomaly	3	3	Ophthamological	Developmental	3
Ankylosing spoldylitis	Abacavir hypersensitivity	1	1	Connective tissue	Immunological	1
Ankylosing spoldylitis	Stevens-Johnson syndrome	1	1	Connective tissue	Dermatological	1
Anorexia nervosa	Alcohol dependence	1	1	Nutritional	Unclassified	1
Anorexia nervosa	Obsessive-compulsive disorder	1	1	Nutritional	Psychiatric	1
Anorexia nervosa	Schizophrenia	1	1	Nutritional	Psychiatric	1
Anorexia nervosa	Seasonal affective disorder	1	1	Nutritional	Psychiatric	1
Anterior segment anomalies and cataract	Branchiootic syndrome	2	2	Ophthamological	Neurological	2
Anterior segment anomalies and cataract	Branchiootorenal syndrome	2	2	Ophthamological	Neurological	2
Anterior segment anomalies and cataract	Branchiootorenal syndrome with cataract	2	2	Ophthamological	Neurological	2
Anterior segment mesenchymal dysgenesis	Axenfeld anomaly	3	3	Ophthamological	Ophthamological	3
Anterior segment mesenchymal dysgenesis	Iridogoniodysgenesis	3	3	Ophthamological	Ophthamological	3
Anterior segment mesenchymal dysgenesis	Iris hypoplasia and glaucoma	3	3	Ophthamological	Ophthamological	3
Anterior segment mesenchymal dysgenesis	Rieger anomaly	3	3	Ophthamological	multiple	3
Anterior segment mesenchymal dysgenesis and cataract	Cataract	1	1	Ophthamological	Ophthamological	1
Antley-Bixler syndrome	Adrenal hyperplasia	1	1	Unclassified	Endocrine	1
Antley-Bixler syndrome	Disordered steroidogenesis	1	1	Unclassified	Metabolic	1
Anxiety-related personality traits	Obsessive-compulsive disorder 1	3	3	Psychiatric	Psychiatric	3
Aortic aneurysm	Ectopia lentis	3	3	Cardiovascular	Ophthamological	3
Aortic aneurysm	Marfan syndrome	3	3	Cardiovascular	Connective tissue	3
Aortic aneurysm	MASS syndrome	3	3	Cardiovascular	Connective tissue	3
Aortic aneurysm	Shprintzen-Goldberg syndrome	3	3	Cardiovascular	multiple	3
Aortic aneurysm	Weill-Marchesani syndrome	3	3	Cardiovascular	Connective tissue	3
Aortic aneurysm	Weill-Marchesani syndrome	3	2	Cardiovascular	Connective tissue	1
Apert syndrome	Beare-Stevenson cutis gyrata syndrome	4	4	Connective tissue	multiple	4
Apert syndrome	Craniofacial-skeletal-dermatologic dysplasia	4	4	Connective tissue	multiple	4
Apert syndrome	Craniosynostosis	4	4	Connective tissue	Skeletal	4
Apert syndrome	Crouzon syndrome	4	4	Connective tissue	Skeletal	4
Apert syndrome	Gastric cancer	4	4	Connective tissue	Cancer	4
Apert syndrome	Jackson-Weiss syndrome	4	4	Connective tissue	Skeletal	4
Apert syndrome	Pfeiffer syndrome	4	4	Connective tissue	Skeletal	4
Apert syndrome	Saethre-Chotzen syndrome	4	4	Connective tissue	Developmental	4
Aplastic anemia	AIDS	1	1	Hematological	Immunological	1
Aplastic anemia	TSC2 angiomyolipomas	1	1	Hematological	multiple	1
Aplastic anemia	Tuberculosis	1	1	Hematological	Respiratory	1
Aplastic anemia	Dyskeratosis congenita	3	3	Hematological	Dermatological	3
ApoA-I and apoC-III deficiency	Amyloidosis	1	1	Metabolic	Neurological	1
ApoA-I and apoC-III deficiency	Corneal clouding	1	1	Metabolic	Ophthamological	1
ApoA-I and apoC-III deficiency	Hypertriglyceridemia	1	1	Metabolic	Metabolic	1
ApoA-I and apoC-III deficiency	Hypoalphalipoproteinemia	1	1	Metabolic	Metabolic	1
Apolipoprotein A-II deficiency	Hypercholesterolemia	1	1	Metabolic	Metabolic	1
Apparent mineralocorticoid excess	Hypertension	2	2	Bone	Cardiovascular	2
Aquaporin-1 deficiency	Blood group	3	3	Unclassified	Hematological	3
Aromatase deficiency	Virilization	3	3	Metabolic	Developmental	3
Arrhythmogenic right ventricular dysplasia 2	Ventricular tachycardia	2	2	Cardiovascular	Cardiovascular	2
Arrhythmogenic right ventricular dysplasia 8	Dilated cardiomyopathy with woolly hair and keratoderma	3	3	Cardiovascular	multiple	3
Arrhythmogenic right ventricular dysplasia 8	Epidermolysis bullosa	3	3	Cardiovascular	Dermatological	3
Arrhythmogenic right ventricular dysplasia 8	Keratosis palmoplantaris striata II	3	3	Cardiovascular	Dermatological	3
Arrhythmogenic right ventricular dysplasia 8	Skin fragility-woolly hair syndrome	3	3	Cardiovascular	Dermatological	3
Arthrogryposis multiplex congenita	Nemaline myopathy	4	4	Developmental	Muscular	4
Arthrogryposis multiplex congenita	Arthyrgryposis multiplex congenita	4	4	Developmental	Developmental	3
Arthropathy	Corneal dystrophy	3	5	Bone	Ophthamological	1
Arthropathy	Craniofacial anomalies	3	5	Bone	multiple	1
Arthropathy	Keratoconus	3	5	Bone	Ophthamological	1
Arthropathy	Spondyloepiphyseal dysplasia tarda with progressive arthropathy	3	3	Bone	Skeletal	3
Arthyrgryposis multiplex congenita	Arthrogryposis multiplex congenita	4	4	Developmental	Developmental	3
Asperger syndrome	Autism	1	1	Psychiatric	Psychiatric	1
Asperger syndrome	Autism	3	3	Psychiatric	Psychiatric	3
Asperger syndrome	Mental retardation	3	3	Psychiatric	Neurological	3
Asthma	IgE levels QTL	2	2	Respiratory	Immunological	2
Asthma	Atherosclerosis	1	1	Respiratory	Cardiovascular	1
Asthma	Beta-2-adrenoreceptor agonist	1	1	Respiratory	Unclassified	1
Asthma	Obesity	1	1	Respiratory	Nutritional	1
Asthma	Allergic rhinitis	2	2	Respiratory	Immunological	2
Asthma	Atopy	2	2	Respiratory	Immunological	2
Asthma	Platelet-activating factor acetylhydrolase deficiency	2	2	Respiratory	Hematological	2
