	disorder	class	gene_list
100	Alexander disease	multiple	NDUFV1, UQOR1
101	Alkaptonuria	Metabolic	HGD, AKU
102	Allan-Herndon-Dudley syndrome	Neurological	SLC16A2, DXS128, XPCT
103	Allergic rhinitis, susceptibility to	Immunological	IL13, ALRH
104	Alopecia universalis	Dermatological	HR, AU
105	Alpers syndrome	Neurological	POLG, POLG1, POLGA, PEO
106	Alpha-1-antichymotrypsin deficiency	Respiratory	SERPINA3, AACT, ACT
107	Alpha-actinin-3 deficiency	Muscular	ACTN3
108	Alpha-methylacetoacetic aciduria	Metabolic	ACAT1
109	Alpha-methylacyl-CoA racemase deficiency	Metabolic	AMACR
110	Alpha-thalassemia/mental retardation syndrome	Hematological	ATRX, XH2, XNP, MRXS3, SHS
111	Alpha-thalassemia myelodysplasia syndrome, somatic	Hematological	ATRX, XH2, XNP, MRXS3, SHS
112	Alport syndrome	Renal	COL4A5, ATS, ASLN
113	Alport syndrome, autosomal recessive	Renal	COL4A3
114	Alport syndrome, autosomal recessive	Renal	COL4A4
115	Alstrom syndrome	Neurological	ALMS1, ALSS, KIAA0328
116	Alternating hemiplegia of childhood	Neurological	ATP1A2, FHM2, MHP2
117	Alveolar soft-part sarcoma	Cancer	ASPCR1, RCC17, ASPL, ASPS
118	Alzheimer disease-1, APP-related	Neurological	APP, AAA, CVAP, AD1
119	Alzheimer disease-2	Neurological	APOE, AD2
120	Alzheimer disease-4	Neurological	PSEN2, AD4, STM2
121	Alzheimer disease, late-onset	Neurological	APBB2, FE65L1
122	Alzheimer disease, late-onset, susceptibility to	Neurological	NOS3
123	Alzheimer disease, late-onset, susceptibility to	Neurological	PLAU, URK
124	Alzheimer disease, susceptibility to	Neurological	ACE, DCP1, ACE1
125	Alzheimer disease, susceptibility to	Neurological	MPO
126	Alzheimer disease, susceptibility to	Neurological	PACIP1, PAXIP1L, PTIP
127	Alzheimer disease, susceptibility to	Neurological	A2M
128	Alzheimer disease, susceptibility to	Neurological	BLMH, BMH
129	Alzheimer disease, type 3	Neurological	PSEN1, AD3
130	Alzheimer disease, type 3, with spastic paraparesis and apraxia	Neurological	PSEN1, AD3
131	Alzheimer disease, type 3, with spastic paraparesis and unusual plaques	Neurological	PSEN1, AD3
132	Amelogenesis imperfecta 2, hypoplastic local	Bone	ENAM
133	Amelogenesis imperfecta	Bone	AMELX, AMG, AIH1, AMGX
134	Amelogenesis imperfecta, hypomaturation-hypoplastic type, with taurodontism	Bone	DLX3, TDO
135	Amelogenesis imperfecta, hypoplastic, and openbite malocclusion	Bone	ENAM
136	Amelogenesis imperfecta, pigmented hypomaturation type	Bone	KLK4, EMSP1, PRSS17
137	Amish infantile epilepsy syndrome	Neurological	SIAT9, ST3GALV
138	AMP deaminase deficiency, erythrocytic	Hematological	AMPD3
139	Amyloid neuropathy, familial, several allelic types	Neurological	TTR, PALB
140	Amyloidosis, 3 or more types	Neurological	APOA1
141	Amyloidosis, cerebroarterial, Dutch type	Neurological	APP, AAA, CVAP, AD1
142	Amyloidosis, Finnish type	Neurological	GSN
143	Amyloidosis, hereditary renal	Neurological	FGA
144	Amyloidosis, renal	Neurological	LYZ
145	Amyloidosis, senile systemic	Neurological	TTR, PALB
146	Amyotrophic lateral sclerosis 8	Neurological	VAPB, VAPC, ALS8
147	Amyotrophic lateral sclerosis, due to SOD1 deficiency	Neurological	SOD1, ALS1
148	Amyotrophic lateral sclerosis, juvenile	Neurological	ALS2, ALSJ, PLSJ, IAHSP
149	Amyotrophic lateral sclerosis, susceptibility to	Neurological	DCTN1
150	Amyotrophic lateral sclerosis, susceptibility to	Neurological	NEFH
151	Amyotrophic lateral sclerosis, susceptibility to	Neurological	PRPH
152	Analbuminemia	Hematological	ALB
153	Analgesia from kappa-opioid receptor agonist, female-specific	Unclassified	MC1R
154	Anderson disease	Gastrointestinal	SARA2, SAR1B, CMRD
155	Androgen insensitivity	Endocrine	AR, DHTR, TFM, SBMA, KD, SMAX1
156	Anemia, congenital dyserythropoietic, type I	Hematological	CDAN1, CDA1
157	Anemia, Diamond-Blackfan	Hematological	RPS19, DBA
158	Anemia, hemolytic, due to PK deficiency	Hematological	PKLR, PK1
159	Anemia, hemolytic, due to UMPH1 deficiency	Hematological	NT5C3, UMPH1, PSN1
160	Anemia, hemolytic, Rh-null, regulator type	Hematological	RHAG, RH50A
161	Anemia, hypochromic microcytic	Hematological	NRAMP2
162	Anemia, neonatal hemolytic, fatal and near-fatal	Hematological	SPTB
163	Anemia, sideroblastic/hypochromic	Hematological	ALAS2, ANH1, ASB
164	Anemia, sideroblastic, with ataxia	Hematological	ABCB7, ABC7, ASAT
165	Aneurysm, familial arterial	Unclassified	COL3A1
166	Angelman syndrome	Developmental	MECP2, RTT, PPMX, MRX16, MRX79
167	Angelman syndrome	Developmental	UBE3A, ANCR
168	Angioedema, hereditary	Immunological	C1NH, HAE1, HAE2, SERPING1
169	Angioedema induced by ACE inhibitors, susceptibility to	Immunological	XPNPEP2
170	Angiofibroma, sporadic	Endocrine	MEN1
171	Angiotensin I-converting enzyme, benign serum increase	Endocrine	ACE, DCP1, ACE1
172	Anhaptoglobinemia	Hematological	HP
173	Aniridia, type II	Ophthamological	PAX6, AN2, MGDA
174	Ankylosing spoldylitis, susceptibility to	Connective tissue	HLA-B
175	Anophthalmia 3	Ophthamological	SOX2, ANOP3
176	Anorexia nervosa, susceptibility to	Nutritional	HTR2A
177	Anterior segment anomalies and cataract	Ophthamological	EYA1, BOR
178	Anterior segment mesenchymal dysgenesis	Ophthamological	FOXE3, FKHL12, ASMD
179	Anterior segment mesenchymal dysgenesis	Ophthamological	FOXC1, FKHL7, FREAC3
180	Anterior segment mesenchymal dysgenesis and cataract	Ophthamological	PITX3
181	Antithrombin III deficiency	Hematological	AT3
182	Antley-Bixler syndrome	Unclassified	POR
183	Anxiety-related personality traits	Psychiatric	SLC6A4, HTT, OCD1
184	Aortic aneurysm, ascending, and dissection	Cardiovascular	FBN1, MFS1, WMS
185	Apert syndrome	Connective tissue	FGFR2, BEK, CFD1, JWS
186	Aplasia of lacrimal and salivary glands	Gastrointestinal	FGF10
187	Aplastic anemia	Hematological	IFNG
188	Aplastic anemia	Hematological	TERC, TRC3, TR
189	Aplastic anemia, susceptibility to	Hematological	TERT, TCS1, EST2
190	Apnea, postanesthetic	Unclassified	BCHE, CHE1
191	ApoA-I and apoC-III deficiency, combined	Metabolic	APOA1
192	Apolipoprotein A-II deficiency	Metabolic	APOA2
193	Apolipoprotein C3 deficiency	Metabolic	APOC3
194	Apolipoprotein H deficiency	Metabolic	APOH
195	Apparent mineralocorticoid excess, hypertension due to	Bone	HSD11B2, HSD11K
196	Aquaporin-1 deficiency	Unclassified	AQP1, CHIP28, CO
197	ARC syndrome	Gastrointestinal	VPS33B
198	Argininemia	Metabolic	ARG1
199	Argininosuccinic aciduria	Metabolic	ASL
200	Aromatase deficiency	Metabolic	CYP19A1, CYP19, ARO
201	Aromatic L-amino acid decarboxylase deficiency	Metabolic	DDC
202	Arrhythmogenic right ventricular dysplasia 2	Cardiovascular	RYR2, VTSIP
203	Arrhythmogenic right ventricular dysplasia 8	Cardiovascular	DSP, KPPS2, PPKS2
204	Arrhythmogenic right ventricular dysplasia, familial, 9	Cardiovascular	PKP2, ARVD9
205	Arthrogryposis multiplex congenita, distal, type 1	Developmental	TPM2, TMSB, AMCD1, DA1
206	Arthrogryposis multiplex congenita, distal, type 2B	Developmental	TNNI2, AMCD2B, DA2B, FSSV
207	Arthropathy, progressive pseudorheumatoid, of childhood	Bone	WISP3, PPAC, PPD
208	Arthyrgryposis multiplex congenita, distal, type 2B	Developmental	TNNT3, AMCD2B, DA2B, FSSV
209	Aspartylglucosaminuria	Metabolic	AGA
210	Asperger syndrome	Psychiatric	NLGN3
211	Asperger syndrome	Psychiatric	NLGN4, KIAA1260, AUTSX2
212	Asthma	Respiratory	PHF11, NYREN34
213	Asthma, atopic, susceptibility to	Respiratory	MS4A2, FCER1B
214	Asthma, dimished response to antileukotriene treatment in	Respiratory	ALOX5
215	Asthma, nocturnal, susceptibility to	Respiratory	ADRB2
216	Asthma, susceptibility to, 1	Respiratory	PTGDR, AS1
217	Asthma, susceptibility to, 2	Respiratory	GPR154, GPRA, VRR1, PGR14
218	Asthma, susceptibility to	Respiratory	HNMT
219	Asthma, susceptibility to	Respiratory	IL12B, NKSF2
220	Asthma, susceptibility to	Respiratory	IL13, ALRH
221	Asthma, susceptibility to	Respiratory	PLA2G7, PAFAH
222	Asthma, susceptibility to	Respiratory	SCGB3A2, UGRP1
223	Asthma, susceptibility to	Respiratory	TNF, TNFA
224	Asthma, susceptibility to	Respiratory	UGB, CC10, CCSP, SCGB1A1
225	Ataxia, cerebellar, Cayman type	Neurological	ATCAY, CLAC, KIAA1872
226	Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia	Neurological	APTX, AOA, AOA1
227	Ataxia, episodic	Neurological	CACNB4, EJM
228	Ataxia-ocular apraxia-2	Neurological	SETX, SCAR1, AOA2
229	Ataxia-telangiectasia	Immunological	ATM, ATA, AT1
230	Ataxia-telangiectasia-like disorder	Immunological	MRE11A, MRE11, ATLD
231	Ataxia with isolated vitamin E deficiency	Neurological	TTPA, TTP1, AVED
232	Atelosteogenesis II	Connective tissue	SLC26A2, DTD, DTDST, D5S1708, EDM4
233	Atelostogenesis, type I	Connective tissue	FLNB, SCT, AOI
234	Athabaskan brainstem dysgenesis syndrome	Neurological	HOXA1, HOX1F, BSAS
235	Atherosclerosis, susceptibility to	Cardiovascular	ALOX5
236	Atopy	Immunological	SPINK5, LEKTI
237	Atopy, resistance to	Immunological	HAVCR1, HAVCR
238	Atopy, susceptibility to	Immunological	PLA2G7, PAFAH
239	Atopy, susceptibility to	Immunological	SELP, GRMP
240	Atopy, susceptibility to	Immunological	IL4R, IL4RA
241	Atransferrinemia	Hematological	TF
242	Atrial fibrillation, familial	Cardiovascular	KCNE2, MIRP1, LQT6
243	Atrial fibrillation, familial	Cardiovascular	KCNQ1, KCNA9, LQT1, KVLQT1, ATFB1
244	Atrial septal defect-2	Cardiovascular	GATA4
245	Atrial septal defect 3	Cardiovascular	MYH6, ASD3, MYHCA
246	Atrial septal defect with atrioventricular conduction defects	Cardiovascular	NKX2E, CSX
247	Atrichia with papular lesions	Dermatological	HR, AU
248	Atrioventricular block, idiopathic second-degree	Cardiovascular	NKX2E, CSX
249	Atrioventricular septal defect	Cardiovascular	GJA1, CX43, ODDD, SDTY3, ODOD
250	Atrioventricular septal defect, partial, with heterotaxy syndrome	Cardiovascular	CRELD1, AVSD2
251	Atrioventricular septal defect, susceptibility to, 2	Cardiovascular	CRELD1, AVSD2
252	Attention deficit-hyperactivity disorder, susceptibility to	Psychiatric	DRD5, DRD1B, DRD1L2
253	Autism, susceptibility to	Psychiatric	GLO1
254	Autism, X-linked	Psychiatric	MECP2, RTT, PPMX, MRX16, MRX79
255	Autism, X-linked	Psychiatric	NLGN3
256	Autism, X-linked	Psychiatric	NLGN4, KIAA1260, AUTSX2
257	Autoimmune lymphoproliferative syndrome	Immunological	TNFRSF6, APT1, FAS, CD95, ALPS1A
258	Autoimmune lymphoproliferative syndrome, type IA	Immunological	TNFRSF6, APT1, FAS, CD95, ALPS1A
259	Autoimmune lymphoproliferative syndrome, type II	Immunological	CASP10, MCH4, ALPS2
260	Autoimmune lymphoproliferative syndrome, type IIB	Immunological	CASP8, MCH5
261	Autoimmune polyglandular disease, type I	Immunological	AIRE, APECED
262	Autoimmune thyroid disease, susceptibility to 3	Endocrine	TG, AITD3
263	Autonomic nervous system dysfunction	Psychiatric	DRD4
264	Axenfeld anomaly	Ophthamological	FOXC1, FKHL7, FREAC3
265	Azoospermia	Endocrine	USP9Y, DFFRY
266	Azoospermia due to perturbations of meiosis	Endocrine	SYCP3, SCP3, COR1
267	Bamforth-Lazarus syndrome	Endocrine	FOXE1, FKHL15, TITF2, TTF2
268	Bannayan-Riley-Ruvalcaba syndrome	Unclassified	PTEN, MMAC1
269	Bannayan-Zonana syndrome	Unclassified	PTEN, MMAC1
270	Bardet-Biedl syndrome 1	multiple	BBS1
271	Bardet-Biedl syndrome 1, modifier of	multiple	ARL6, BBS3
272	Bardet-Biedl syndrome	multiple	BBS7
273	Bardet-Biedl syndrome 2	multiple	BBS2
274	Bardet-Biedl syndrome 3	multiple	ARL6, BBS3
275	Bardet-Biedl syndrome 4	multiple	BBS4
276	Bardet-Biedl syndrome 5	multiple	BBS5
277	Bardet-Biedl syndrome 6	multiple	MKKS, HMCS, KMS, MKS, BBS6
278	Bardet-Biedl syndrome 8	multiple	TTC8, BBS8
279	Bare lymphocyte syndrome, type I	Immunological	TAPBP, TPSN
280	Bare lymphocyte syndrome, type I, due to TAP2 deficiency	Immunological	TAP2, ABCB3, PSF2, RING11
281	Bare lymphocyte syndrome, type II, complementation group A	Immunological	MHC2TA, C2TA
282	Bare lymphocyte syndrome, type II, complementation group C	Immunological	RFX5
283	Bare lymphocyte syndrome, type II, complementation group D	Immunological	RFXAP
284	Bare lymphocyte syndrome, type II, complementation group E	Immunological	RFX5
285	Barth syndrome	multiple	TAZ, EFE2, BTHS, CMD3A, LVNCX
286	Bart-Pumphrey syndrome	multiple	GJB2, CX26, DFNB1, PPK, DFNA3, KID, HID
287	Bartter syndrome, type 1	multiple	SLC12A1, NKCC2
288	Bartter syndrome, type 2	multiple	KCNJ1, ROMK1
289	Bartter syndrome, type 3	multiple	CLCNKB
290	Bartter syndrome, type 4	multiple	BSND
291	Bartter syndrome, type 4, digenic	multiple	CLCNKA
292	Bartter syndrome, type 4, digenic	multiple	CLCNKB
293	Basal cell carcinoma	Cancer	RASA1, GAP, CMAVM, PKWS
294	Basal cell carcinoma, somatic	Cancer	PTCH2
295	Basal cell carcinoma, somatic	Cancer	PTCH, NBCCS, BCNS, HPE7
296	Basal cell carcinoma, sporadic	Cancer	SMOH, SMO
297	Basal cell nevus syndrome	multiple	PTCH, NBCCS, BCNS, HPE7
298	Basal ganglia disease, adult-onset	Neurological	FTL
299	Basal ganglia disease, biotin-responsive	Neurological	SLC19A3
300	B-cell non-Hodgkin lymphoma, high-grade	Cancer	BCL7A, BCL7
301	BCG infection, generalized familial	Immunological	IFNGR1
302	Beare-Stevenson cutis gyrata syndrome	multiple	FGFR2, BEK, CFD1, JWS
303	Becker muscular dystrophy	Muscular	DMD, BMD
304	Becker muscular dystrophy modifier	Muscular	MYF6
305	Beckwith-Wiedemann syndrome	multiple	CDKN1C, KIP2, BWS
306	Beckwith-Wiedemann syndrome	multiple	H19, D11S813E, ASM1, BWS
307	Beckwith-Wiedemann syndrome	multiple	KCNQ10T1, LIT1
308	Beckwith-Wiedemann syndrome	multiple	NSD1, ARA267, STO
309	Benzene toxicity, susceptibility to	Unclassified	NQO1, DIA4, NMOR1
310	Bernard-Soulier syndrome	Hematological	GP1BA
311	Bernard-Soulier syndrome, type B	Hematological	GP1BB
312	Bernard-Soulier syndrome, type C	Hematological	GP9
313	Beryllium disease, chronic, susceptibility to	Unclassified	HLA-DPB1
314	Beta-2-adrenoreceptor agonist, reduced response to	Unclassified	ADRB2
315	Beta-ureidopropionase deficiency	Metabolic	UPB1, BUP1
316	Bethlem myopathy	Muscular	COL6A1, OPLL
317	Bethlem myopathy	Muscular	COL6A2
318	Bethlem myopathy	Muscular	COL6A3
319	Bietti crystalline corneoretinal dystrophy	Ophthamological	CYP4V2, BCD
320	Bile acid malabsorption, primary	Gastrointestinal	SLC10A2, NTCP2
321	Biotinidase deficiency	Metabolic	BTD
322	Bipolar disorder, susceptibility to	Psychiatric	XBP1, XBP2
323	Birt-Hogg-Dube syndrome	Dermatological	FLCN, BHD
324	Bladder cancer	Cancer	FGFR3, ACH
325	Bladder cancer	Cancer	KRAS2, RASK2
326	Bladder cancer	Cancer	RB1
327	Bladder cancer, somatic	Cancer	HRAS
328	Blau syndrome	multiple	CARD15, NOD2, IBD1, CD, ACUG, PSORAS1
329	Bleeding disorder due to defective thromboxane A2 receptor	Hematological	TBXA2R
330	Bleeding due to platelet ADP receptor defect	Hematological	P2RX1, P2X1
331	Blepharophimosis, epicanthus inversus, and ptosis, type 1	multiple	FOXL2, BPES, BPES1, PFRK, POF3
332	Blepharophimosis, epicanthus inversus, and ptosis, type 2	multiple	FOXL2, BPES, BPES1, PFRK, POF3
333	Blepharospasm, primary benign	Ophthamological	DRD5, DRD1B, DRD1L2
334	Blood group, ABO system	Hematological	ABO
335	Blood group, Auberger system	Hematological	LU, AU, BCAM
336	Blood group, Colton	Hematological	AQP1, CHIP28, CO
337	Blood group Cromer	Hematological	DAF
338	Blood group, Diego	Hematological	SLC4A1, AE1, EPB3
339	Blood group, Dombrock	Hematological	ART4, DO
340	Blood group, Gerbich	Hematological	GYPC, GE, GPC
341	Blood group GIL	Hematological	AQP3
342	Blood group, Ii	Hematological	GCNT2
343	Blood group, Indian system	Hematological	CD44, MDU2, MDU3, MIC4
344	Blood group, Kell	Hematological	KEL
345	Blood group, Kidd	Hematological	SLC14A1, JK, UTE, UT1
346	Blood group, Knops system	Hematological	CR1, C3BR
347	Blood group, Landsteiner-Wiener	Hematological	LW
348	Blood group, Lewis	Hematological	FUT3, LE
349	Blood group, Lutheran system	Hematological	LU, AU, BCAM
350	Blood group, MN	Hematological	GYPA, MN, GPA
351	Blood group, OK	Hematological	BSG
352	Blood group, P system	Hematological	A4GALT, PK
353	Blood group, P system	Hematological	B3GALT3, GLCT3, P
354	Blood group, Rhesus	Hematological	RHCE
355	Blood group, Ss	Hematological	GYPB, SS, MNS
356	Blood group, Waldner	Hematological	SLC4A1, AE1, EPB3
357	Blood group, Wright	Hematological	SLC4A1, AE1, EPB3
358	Blood group, XG system	Hematological	XG
359	Blood group, Yt system	Hematological	ACHE, YT
360	Bloom syndrome	Cancer	RECQL3, RECQ2, BLM, BS
361	Blue-cone monochromacy	Ophthamological	OPN1LW, RCP, CBP, CBBM
362	Blue-cone monochromacy	Ophthamological	OPN1MW, GCP, CBD, CBBM
363	Bombay phenotype	Hematological	FUT1, H, HH
364	Bombay phenotype	Hematological	FUT2, SE
365	Bone mineral density variability 1	Bone	LRP5, BMND1, LRP7, LR3, OPPG, VBCH2
366	Borjeson-Forssman-Lehmann syndrome	multiple	PHF6, BFLS
367	Bosley-Salih-Alorainy syndrome	Neurological	HOXA1, HOX1F, BSAS
368	Bothnia retinal dystrophy	Ophthamological	RLBP1
369	Brachydactyly, type A1	Skeletal	IHH, BDA1
370	Brachydactyly, type A2	Skeletal	BMPR1B, ALK6
371	Brachydactyly, type B1	Skeletal	ROR2, BDB1, BDB, NTRKR2
372	Brachydactyly, type C	Skeletal	GDF5, CDMP1
373	Brachydactyly, type D	Skeletal	HOXD13, HOX4I, SPD
374	Brachydactyly, type E	Skeletal	HOXD13, HOX4I, SPD
375	Bradyopsia	Ophthamological	R9AP, RGS9, PERRS
376	Bradyopsia	Ophthamological	RGS9, PERRS
377	Branchiootic syndrome	Neurological	EYA1, BOR
378	Branchiootorenal syndrome	Neurological	EYA1, BOR
379	Branchiootorenal syndrome with cataract	Neurological	EYA1, BOR
380	Breast and colorectal cancer, susceptibility to	Cancer	CHEK2, RAD53, CHK2, CDS1, LFS2
381	Breast cancer	Cancer	PIK3CA
382	Breast cancer	Cancer	PPM1D, WIP1
383	Breast cancer	Cancer	SLC22A1L, BWSCR1A, IMPT1
384	Breast cancer	Cancer	TP53, P53, LFS1
385	Breast cancer-1	Cancer	BRCA1, PSCP
386	Breast cancer 2, early onset	Cancer	BRCA2, FANCD1
387	Breast cancer	Cancer	TSG101
388	Breast cancer, early-onset	Cancer	BRIP1, BACH1, FANCJ
389	Breast cancer, invasive intraductal	Cancer	RAD54L, HR54, HRAD54
390	Breast cancer, lobular	Cancer	CDH1, UVO
391	Breast cancer, male, susceptibility to	Cancer	BRCA2, FANCD1
392	Breast cancer, male, with Reifenstein syndrome	Cancer	AR, DHTR, TFM, SBMA, KD, SMAX1
393	Breast cancer, somatic	Cancer	KRAS2, RASK2
394	Breast cancer, somatic	Cancer	RB1CC1, CC1, KIAA0203
395	Breast cancer, sporadic	Cancer	PHB
396	Breast cancer, susceptibility to	Cancer	ATM, ATA, AT1
397	Breast cancer, susceptibility to	Cancer	BARD1
398	Breast cancer, susceptibility to	Cancer	CHEK2, RAD53, CHK2, CDS1, LFS2
399	Breast cancer, susceptibility to	Cancer	RAD51A, RECA
400	Breast cancer, susceptibility to	Cancer	XRCC3
401	Breast-ovarian cancer	Cancer	BRCA1, PSCP
