Source	Destination	Weight
94852	12592	1
94852	32238	6
94852	50035	1
94852	51006	8
94852	71196	4
94852	78226	1
94852	82916	1
96061	71529	2
96329	47194	1
96550	48060	1
96550	85665	1
96988	94248	1
96988	109345	1
97075	32238	1
97458	5056	1
98744	32238	1
98908	90418	1
98977	81790	1
99434	99454	1
100566	11049	1
100566	34928	1
100566	104480	1
100755	21554	1
100812	5056	30
100812	9420	1
100812	10485	1
100812	10973	1
100812	13612	1
100812	13617	1
100812	13744	1
100812	14839	1
100812	15921	1
100812	15971	1
100812	17192	1
100812	17893	1
100812	18258	1
100812	18543	1
100812	18913	1
100812	19812	1
100812	20251	1
100812	20833	1
100812	20834	1
100812	21625	1
100812	21762	1
100812	21894	1
100812	23126	1
100812	23713	1
100812	23738	1
100812	24356	1
100812	24545	2
100812	24926	1
100812	25397	1
100812	26028	1
100812	26512	1
100812	26749	1
100812	27990	1
100812	28033	1
100812	28320	1
100812	28836	1
100812	29983	1
100812	30778	1
100812	32238	1
100812	32541	2
100812	32862	1
100812	34254	1
100812	35470	1
100812	35781	1
100812	37082	1
100812	37201	1
100812	37724	1
100812	38891	1
100812	39153	1
100812	39683	1
100812	39703	1
100812	39727	1
100812	40089	1
100812	43843	1
100812	44211	1
100812	45235	1
100812	49759	1
100812	50624	1
100812	51054	1
100812	51364	1
100812	52755	1
100812	53337	1
100812	53407	1
100812	53588	1
100812	54406	1
100812	56207	1
100812	56226	1
100812	56234	1
100812	56776	1
100812	57087	1
100812	57156	1
100812	57728	1
100812	58025	1
100812	59299	1
100812	59746	1
100812	62118	1
100812	63001	1
100812	63743	1
100812	65279	1
100812	66391	1
100812	66873	1
100812	66933	1
100812	67285	2
100812	67354	1
100812	67409	1
100812	67431	1
100812	67454	1
100812	67705	1
100812	68247	1
100812	68435	1
100812	68608	1
100812	69083	1
100812	69161	1
100812	69353	1
100812	69552	1
100812	69807	1
100812	70069	1
100812	71307	1
100812	72194	1
100812	73148	1
100812	73720	1
100812	74091	2
100812	75443	1
100812	76199	1
100812	76455	1
100812	77092	1
100812	77574	1
100812	78296	1
100812	82314	1
100812	83319	1
100812	83815	1
100812	83857	2
100812	86709	1
100812	87585	1
100812	88897	1
100812	91931	1
100812	92309	1
100812	92613	1
100812	94248	1
100812	96988	1
100812	97857	1
100812	98480	2
100812	98852	1
100812	99434	2
100812	99482	1
100812	99742	1
100812	99917	1
100812	100172	1
100812	102466	1
100812	103015	1
100812	103027	1
100812	103226	1
100812	103435	2
100812	104017	1
100812	104871	2
100812	105128	1
100812	105323	1
100812	106865	1
100812	107081	1
100812	107550	1
100812	107923	1
100812	108803	1
100812	109665	1
100812	110251	1
100812	113520	1
100812	113801	1
101002	17893	1
101002	24926	1
101002	58025	1
101002	88347	2
101002	93871	2
102324	1629	2
103598	3432	1
103657	30988	2
103657	45727	1
103657	67517	1
103697	24309	10
103697	89819	3
104017	103435	1
104480	48842	2
104480	50790	2
104480	51934	3
104589	91970	1
105344	72682	5
107081	5056	2
107614	46303	1
107614	52597	1
108000	93356	1
109219	24996	1
109335	5056	1
109335	36235	1
109335	53588	1
111400	111401	1
111401	111400	1
111767	29180	1
111883	15715	1
111883	17893	3
111883	32238	5
112491	40094	2
113211	100055	1
113520	44907	1
113520	70937	1
113520	94248	1
113691	66584	1
113812	18913	1
114351	24441	7
